Advertiser ID,Advertiser Name,Primary Region,Membership Status,Datafeed Format,Feed ID,Feed Name,Language,Vertical,Last Imported,Last Checked,No of products,URL
"30441","Kerstin Ireland Test","GB","Not Joined","Enhanced","F25","","English","Retail","2024-07-30 10:53:29","2024-07-30 10:53:29","1000","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F25.csv.gz"
"30441","Kerstin Ireland Test","DE","Not Joined","Enhanced","F71","","German","Retail","2024-07-30 10:53:39","2024-07-30 10:53:39","1000","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F71.csv.gz"
"30441","Kerstin Ireland Test","IT","Not Joined","Enhanced","F72","","Italian","Retail","2024-07-30 10:54:33","2024-07-30 10:54:33","1000","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F72.csv.gz"
"30441","Kerstin Ireland Test","FR","Not Joined","Enhanced","F78","","German","Retail","2024-10-31 10:44:52","2024-10-31 10:44:52","1000","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F78.csv.gz"
"48301","Philip Jones Jewellery","GB","active","Enhanced","F87","","English","Retail","2025-06-09 10:43:43","2025-06-09 10:43:43","3638","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F87.csv.gz"
"25720","Spotlight Oral Care IE","IE","active","Enhanced","F89","","English","Retail","2025-06-09 10:42:20","2025-06-09 10:42:20","76","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F89.csv.gz"
"78586","Needs No Label","GB","Not Joined","Enhanced","F94","","English","Retail","2025-06-09 10:43:09","2025-06-09 10:43:09","935","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F94.csv.gz"
"116163","West Berkshire Roastery","GB","Not Joined","Enhanced","F99","","English","Retail","2025-06-09 10:42:28","2025-06-09 10:42:28","132","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F99.csv.gz"
"115775","PAOLITA","GB","Not Joined","Enhanced","F105","","English","Retail","2025-06-09 10:44:04","2025-06-09 10:44:04","972","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F105.csv.gz"
"111896","Nuovva UK","GB","Not Joined","Enhanced","F107","","English","Retail","2025-06-09 10:53:03","2025-06-09 10:53:03","239","https://ui.awin.com/productdata-darwin-download/publisher/356591/ed3a8668457343534c0164809c8ac673/1/feed/F107.csv.gz"
